time_s,position_cm,setpoint_cm,error_cm,control_signal_v
0.04787087440490723,5.03,5.0,-0.03000000000000025,4.653
0.26287412643432617,5.0,5.0,0.0,4.653
0.29541873931884766,5.03,5.0,-0.03000000000000025,4.663
0.5303671360015869,5.05,5.0,-0.04999999999999982,4.653
0.7948319911956787,5.1,5.0,-0.09999999999999964,4.653
0.8116621971130371,4.96,5.0,0.040000000000000036,4.663
1.061457633972168,5.05,5.0,-0.04999999999999982,4.653
1.327751636505127,4.98,5.0,0.019999999999999574,4.653
1.5941956043243408,5.0,5.0,0.0,4.643
1.6422502994537354,5.08,5.0,-0.08000000000000007,4.653
1.8434371948242188,5.0,5.0,0.0,4.653
1.8924434185028076,5.03,5.0,-0.03000000000000025,4.663
2.1101653575897217,5.0,5.0,0.0,4.653
2.1418094635009766,5.05,5.0,-0.04999999999999982,4.663
2.3764750957489014,5.03,5.0,-0.03000000000000025,4.653
2.643036127090454,5.05,5.0,-0.04999999999999982,4.653
2.909025192260742,4.96,5.0,0.040000000000000036,4.653
3.175523281097412,4.93,5.0,0.07000000000000028,4.653
3.224707841873169,5.0,5.0,0.0,4.653
3.425818681716919,5.0,5.0,0.0,4.653
3.691938877105713,5.08,5.0,-0.08000000000000007,4.663
3.7401628494262695,4.96,5.0,0.040000000000000036,4.663
3.957636594772339,5.08,5.0,-0.08000000000000007,4.663
4.006106853485107,5.05,5.0,-0.04999999999999982,4.653
4.2246339321136475,5.0,5.0,0.0,4.653
4.256344556808472,5.03,5.0,-0.03000000000000025,4.653
4.490551710128784,4.96,5.0,0.040000000000000036,4.663
4.522308111190796,5.03,5.0,-0.03000000000000025,4.653
4.757240056991577,5.03,5.0,-0.03000000000000025,4.653
5.005778551101685,4.96,5.0,0.040000000000000036,4.653
5.071129083633423,5.08,5.0,-0.08000000000000007,4.653
5.27217698097229,5.0,5.0,0.0,4.653
5.538896560668945,5.05,5.0,-0.04999999999999982,4.653
5.587308406829834,5.05,5.0,-0.04999999999999982,4.653
5.804905891418457,5.05,5.0,-0.04999999999999982,4.653
5.853265285491943,5.08,5.0,-0.08000000000000007,4.653
6.071038722991943,4.98,5.0,0.019999999999999574,4.653
6.1030871868133545,5.03,5.0,-0.03000000000000025,4.653
6.337086200714111,5.18,15.0,9.82,6.158
6.355350494384766,5.4,15.0,9.6,6.1
6.587495803833008,10.16,15.0,4.84,5.474
6.63995623588562,10.94,15.0,4.0600000000000005,5.367
6.693343877792358,11.87,15.0,3.130000000000001,5.239
6.746873378753662,12.31,15.0,2.6899999999999995,5.103
6.853040933609009,12.6,15.0,2.4000000000000004,5.015
